id_template,"nama_template","isi_teks_ekspertise"
1,"Blanko X-Ray Thorax PA","Klinis: ...\n\nCor:\n- Besar dan bentuk jantung dalam batas normal, CTR < 0.50\n- Apeks jantung tidak bergeser\n\nPulmo:\n- Corakan bronchovaskular normal\n- Tidak tampak infiltrat, konsolidasi, maupun nodul\n- Kedua sinus costophrenicus lancip\n- Kedua hemidiafragma normal\n\nMediastinum:\n- Mediastinum superior tidak melebar\n- Trakea di tengah\n\nTulang dan jaringan lunak:\n- Tidak tampak kelainan tulang dan jaringan lunak yang tervisualisasi\n\nKesan:\n- Foto thorax dalam batas normal"
2,"Blanko X-Ray Thorax AP Supine","Klinis: ...\n\nCor:\n- Besar jantung sulit dinilai (posisi AP)\n- Batas jantung relatif jelas\n\nPulmo:\n- Corakan bronchovaskular normal\n- Tidak tampak infiltrat maupun konsolidasi\n- Sinus costophrenicus sulit dinilai (posisi supine)\n\nMediastinum:\n- Mediastinum superior tidak melebar\n- Trakea di tengah\n\nTulang dan jaringan lunak:\n- Tidak tampak kelainan bermakna\n\nKesan:\n- Tidak tampak kelainan bermakna pada foto thorax AP supine"
3,"Blanko X-Ray Abdomen 3 Posisi","Klinis: ...\n\nDistribusi gas usus:\n- Distribusi gas usus normal\n- Tidak tampak dilatasi loop usus\n- Tidak tampak air fluid level bertingkat\n\nPneumoperitoneum:\n- Tidak tampak free air subdiafragma\n\nSoft tissue dan tulang:\n- Bayangan psoas line simetris\n- Tidak tampak kalsifikasi abnormal\n- Tulang-tulang dalam batas normal\n\nKesan:\n- Tidak tampak gambaran ileus maupun pneumoperitoneum"
4,"Blanko X-Ray Vertebra Cervical","Klinis: ...\n\nAlignment:\n- Alignment vertebra cervical baik, tidak tampak listhesis\n\nCorpus vertebra:\n- Corpus vertebra C1-C7 bentuk dan tinggi normal\n- Tidak tampak fraktur maupun subluksasi\n\nDiscus intervertebralis:\n- Celah discus intervertebralis normal\n- Tidak tampak penyempitan celah discus\n\nJaringan lunak prevertebral:\n- Tidak tampak penebalan jaringan lunak prevertebral\n\nLordosis:\n- Lordosis cervical normal / sedikit lurus (straightening)\n\nKesan:\n- Tidak tampak kelainan bermakna pada vertebra cervical"
5,"Blanko X-Ray Vertebra Thorakal","Klinis: ...\n\nAlignment:\n- Alignment vertebra thorakal baik, tidak tampak skoliosis/kifosis patologis\n\nCorpus vertebra:\n- Corpus vertebra T1-T12 bentuk dan tinggi normal\n- Tidak tampak kompresi/fraktur\n- Tidak tampak lesi litik maupun sklerotik\n\nDiscus intervertebralis:\n- Celah discus intervertebralis normal\n\nPedicle:\n- Pedikel intak di semua level\n\nJaringan lunak:\n- Tidak tampak massa jaringan lunak paravertebra\n\nKesan:\n- Tidak tampak kelainan bermakna pada vertebra thorakal"
6,"Blanko X-Ray Vertebra Lumbal","Klinis: ...\n\nAlignment:\n- Alignment vertebra lumbal baik, tidak tampak listhesis\n\nCorpus vertebra:\n- Corpus vertebra L1-L5 bentuk dan tinggi normal\n- Tidak tampak kompresi/fraktur\n- Tidak tampak lesi litik maupun sklerotik\n\nDiscus intervertebralis:\n- Celah discus L1-L5 normal\n- Tidak tampak penyempitan celah discus\n\nFacet joint dan pedicle:\n- Facet joint normal, pedikel intak\n\nLordosis:\n- Lordosis lumbal normal / sedikit berkurang\n\nKesan:\n- Tidak tampak kelainan bermakna pada vertebra lumbal"
7,"Blanko X-Ray Vertebra Lumbosacral","Klinis: ...\n\nAlignment:\n- Alignment vertebra lumbosacral baik, tidak tampak listhesis\n\nCorpus vertebra:\n- Corpus vertebra L1-L5 dan sacrum bentuk dan tinggi normal\n- Tidak tampak kompresi/fraktur\n\nDiscus intervertebralis:\n- Celah discus L1-L5 normal\n- Celah discus L5-S1 normal / sedikit menyempit\n\nSacroiliac joint:\n- Kedua sacroiliac joint normal\n\nLordosis:\n- Lordosis lumbal normal\n\nKesan:\n- Tidak tampak kelainan bermakna pada vertebra lumbosacral"
8,"Blanko X-Ray Pelvis AP","Klinis: ...\n\nTulang pelvis:\n- Os ilium, ischium, pubis kanan dan kiri intak\n- Tidak tampak fraktur\n- Tidak tampak lesi litik maupun sklerotik\n\nSendi panggul:\n- Kedua hip joint kongruen\n- Celah sendi hip kanan dan kiri simetris, normal\n- Caput femoris sferis, tidak tampak tanda nekrosis avaskuler\n\nSendi sacroiliac:\n- Kedua sacroiliac joint normal\n\nSacrum dan coccyx:\n- Sacrum dan coccyx normal\n\nKesan:\n- Tidak tampak kelainan bermakna pada pelvis"
9,"Blanko X-Ray Ekstremitas","Klinis: ...\n\nAlignment:\n- Alignment tulang baik / tidak tampak dislokasi\n\nCortex dan trabekula:\n- Cortex tulang intak\n- Tidak tampak fraktur\n- Tidak tampak lesi litik maupun sklerotik\n- Densitas tulang normal\n\nCelah sendi:\n- Celah sendi normal / sedikit menyempit\n- Tidak tampak erosi\n\nJaringan lunak:\n- Tidak tampak pembengkakan / kalsifikasi jaringan lunak\n\nKesan:\n- Tidak tampak kelainan bermakna"
10,"Blanko X-Ray Skull","Klinis: ...\n\nTabula dan diploe:\n- Tabula interna dan eksterna intak\n- Tidak tampak fraktur calvaria\n- Tidak tampak lesi litik maupun sklerotik\n\nSutura:\n- Sutura tidak melebar\n\nSella turcica:\n- Sella turcica normal, tidak tampak erosi dorsum sellae\n\nSinus paranasal:\n- Sinus paranasal yang tervisualisasi bersih\n\nMastoid:\n- Mastoid yang tervisualisasi normal\n\nKesan:\n- Tidak tampak kelainan bermakna pada skull"
